,probability
395,0.377259903292
396,0.0669179531515
397,0.0702485349926
398,0.0269089424202
399,0.00337373517904
400,0.00289754205297
401,0.184365335121
402,0.506483742778
403,0.385187841992
404,0.153972795586
405,0.476732523255
406,0.364369892017
407,0.605980937258
408,0.0717573759096
409,0.107539956033
410,0.307695120607
411,0.970856123729
412,0.817153850949
413,0.0568481595156
414,0.0318000748645
415,0.976725453859
416,0.10682383238
417,0.20951401635
418,0.0521034815323
419,0.221687624278
420,0.0894935796012
421,0.0710072899318
422,0.501480924762
423,0.0951233535231
424,0.208615073413
425,0.367343746758
426,0.0779960454795
427,0.540599918961
428,0.121938555622
429,0.599395620685
430,0.174911589145
431,0.43024745202
432,0.430216897563
433,0.157661409454
434,0.546362888892
435,0.383372484442
436,0.545586429148
437,0.0323896794633
438,0.106850023762
439,0.38401405758
440,0.189524850613
441,0.344759612661
442,0.472644602631
443,0.386816435621
444,0.779105094835
445,0.0612459629199
446,0.795167405352
447,0.617657935141
448,0.0873408688744
449,0.24074767655
450,0.845188175027
451,0.19198959054
452,0.802789071776
453,0.0579021942009
454,0.877367191656
455,0.0313616026806
456,0.476317668992
457,0.785892543021
458,0.658217135393
459,0.212187012804
460,0.69299898176
461,0.959416286019
462,0.411537788555
463,0.969554224079
464,0.30312909058
465,0.296380604192
466,0.0381176251035
467,0.0751796987958
468,0.14379148436
469,0.972003104825
470,0.129957026366
471,0.14299266254
472,0.706706802516
473,0.0312008141105
474,0.101799636957
475,0.437343546185
476,0.973450191714
477,0.118168634178
478,0.446371533786
479,0.16462375667
480,0.959315796422
481,0.0369903001464
482,0.616633227126
483,0.117031528322
484,0.124910193369
485,0.480297364923
486,0.250322642648
487,0.241958111747
488,0.181401705416
489,0.0477079229438
490,0.0487081631864
491,0.451631435984
492,0.678030448324
493,0.330965471154
494,0.132230107526
495,0.268269738949
496,0.259365338415
497,0.202679870244
498,0.24360865706
499,0.843191293003
500,0.939541027782
501,0.0717537677972
502,0.0108073534326
503,0.649225838709
504,0.0208652949261
505,0.0210634836688
506,0.43096990749
507,0.68249821663
508,0.745417894826
509,0.366627496762
510,0.407685080416
511,0.908134177903
512,0.111455919022
513,0.116801997673
514,0.887332347951
515,0.860554313332
516,0.287899610518
517,0.262496371512
518,0.156039883348
519,0.0484397032836
520,0.0954483417952
521,0.398790864028
522,0.115379610948
523,0.0852814285792
524,0.0143174854346
525,0.907662329701
526,0.429118381218
527,0.112820027045
528,0.954605052994
529,0.89126816032
530,0.700909715337
531,0.74980382839
532,0.0182686171588
533,0.250498264234
534,0.0643669905699
535,0.318074179988
536,0.973736891285
537,0.0447623363379
538,0.0455890757078
539,0.22122155351
540,0.31176549467
541,0.386158241931
542,0.75288853452
543,0.824470436701
544,0.026775642013
545,0.610526829093
546,0.201775189502
547,0.374901369805
548,0.846513960795
549,0.158815211615
550,0.0938844125282
551,0.476493302011
552,0.348481763792
553,0.727841856745
554,0.00959900091522
555,0.760160181916
556,0.160383434808
557,0.906713315205
558,0.731217716337
559,0.0316271750662
560,0.0309355063621
561,0.0408960224299
562,0.0454101086009
563,0.0177764528749
564,0.0959880514669
565,0.106222778281
566,0.75051567418
567,0.576334232414
568,0.050577091311
569,0.212007588958
570,0.25756959793
571,0.220697545756
572,0.776190331128
573,0.131948932431
574,0.178639227588
575,0.711954946893
576,0.233991682182
577,0.451181263351
578,0.68357499406
579,0.974655401184
580,0.288150575126
581,0.793782081139
582,0.263509576244
583,0.0119911133584
584,0.0255584905856
585,0.039286424932
586,0.839737900965
587,0.911087089806
588,0.159909521015
589,0.346983094422
590,0.343812452898
591,0.484074139989
592,0.330074510341
593,0.382560482261
594,0.416579851629
595,0.589140513868
596,0.0716493241064
597,0.0830597600422
598,0.585144084894
599,0.227368611251
600,0.932631824556
601,0.118957972395
602,0.589979732364
603,0.530849909544
604,0.0102432993041
605,0.789614079722
606,0.96625391453
607,0.421137100748
608,0.237022053568
609,0.450334754569
610,0.0103592017712
611,0.402508733942
612,0.146882642892
613,0.196056588278
614,0.108822344308
615,0.0894577061377
616,0.450044653003
617,0.478692209185
618,0.131554872226
619,0.584042815294
620,0.25540553209
621,0.507106348676
622,0.0300753230798
623,0.114984421576
624,0.0213210401631
625,0.0917867316388
626,0.0963207297386
627,0.32265230768
628,0.79086736789
629,0.0636541679539
630,0.0307673477523
631,0.282307182366
632,0.0437022275175
633,0.0246695201773
634,0.533758153773
635,0.397461190773
636,0.800853153968
637,0.103958091284
638,0.8464838948
639,0.781326898181
640,0.0929369203878
641,0.824765682719
642,0.774507549856
643,0.0156721508295
644,0.0330279298327
645,0.878860921481
646,0.113580623314
647,0.134872486727
648,0.0185866665641
649,0.284522871813
650,0.887369923401
651,0.9468347039
652,0.0500155872144
653,0.424469539415
